country_code,country_name,year,GDP (current US$),"Inflation, consumer prices (annual %)","Life expectancy at birth, total (years)","Population, total","Unemployment, total (% of total labor force) (modeled ILO estimate)",gdp_per_capita,gdp_annual_growth_pct
CN,China,2018,14147765772963.8,2.07479039965576,77.709,1402760000.0,4.31,10085.663814881947,12.843063810761478
CN,China,2019,14560167101283.4,2.89923416358227,77.94,1407745000.0,4.56,10342.90095243343,2.9149572797401824
CN,China,2020,14996414166715.1,2.41942189457782,78.019,1411100000.0,5.0,10627.463798961873,2.9961679862399837
CN,China,2021,18201698719564.0,0.981015135544882,78.117,1412360000.0,4.55,12887.43572429409,21.373673180906838
CN,China,2022,18316765021690.2,1.97357555739051,78.202,1412175000.0,4.98,12970.605641432683,0.6321734245744892
CN,China,2023,18270356654533.2,0.234836828893051,77.953,1410710000.0,4.67,12951.178239704263,-0.2533655211607755
CN,China,2024,18729668435848.0,0.218128938439177,78.017,1408975000.0,4.59,13293.116226936603,2.5139727154742664
CN,China,2025,19498039388042.6,0.0595646916565403,,1406585000.0,4.615,13861.970224367957,4.102426878651855
DE,Germany,1960,84619845881.2608,1.53661234295201,69.0640731707317,72814900.0,,1162.1226683173472,
DE,Germany,1961,96558204043.1028,2.29369500700884,69.6448780487805,73377632.0,,1315.9078783450357,14.108224893949806
DE,Germany,1962,105895435234.343,2.84327019799062,69.7992195121951,74025784.0,,1430.5209551626363,9.67005474446494
DE,Germany,1963,112232503744.1,2.9669597758771,69.9140731707317,74714353.0,,1502.1545290514662,5.984269761707184
DE,Germany,1964,123330404665.086,2.33573581177832,70.4355609756098,75318337.0,,1637.4552277367197,9.888312699759583
DE,Germany,1965,134774688191.161,3.24231923668133,70.4103658536585,75963695.0,,1774.1986904554997,9.279369152442897
DE,Germany,1966,143304275683.979,3.53306035477689,70.5215853658537,76600311.0,,1870.8054029177376,6.328775534408848
DE,Germany,1967,145100667772.69,1.79604992213175,70.7317317073171,76951336.0,,1885.6159660787437,1.2535509356835117
DE,Germany,1968,156527292653.157,1.470289313277,70.3784634146342,77294314.0,,2025.0815946585283,7.874963675816837
DE,Germany,1969,177733486326.06,1.91267848797596,70.2288048780488,77909682.0,,2281.2759821822915,13.547920821637804
DE,Germany,1970,216629229947.096,3.45024936360895,70.4471951219512,78169289.0,,2771.2831051475473,21.884308030553147
DE,Germany,1971,250900942396.699,5.24097448273094,70.676756097561,78312842.0,,3203.8288483605156,15.82044697198648
DE,Germany,1972,300899944795.436,5.4849331221432,70.9067073170732,78688452.0,,3823.9403260269496,19.92778581105672
DE,Germany,1973,399833571167.215,7.03202399303898,71.1128048780488,78936666.0,,5065.245233022826,32.87924377621212
DE,Germany,1974,446934971657.471,6.98643109327497,71.4189268292683,78967433.0,,5659.737877733356,11.780251556355093
DE,Germany,1975,492434094920.105,5.91033626324104,71.259243902439,78673554.0,,6259.207444983418,10.180255774995462
DE,Germany,1976,521658712132.981,4.24663102299209,71.7122195121951,78336950.0,,6659.165465760168,5.934726598818796
DE,Germany,1977,602698323085.993,3.73416240635147,72.3073170731707,78159814.0,,7711.102320253642,15.53498658570347
DE,Germany,1978,743182891918.208,2.71869696123339,72.2904146341464,78091820.0,,9516.782832289067,23.30926824433368
DE,Germany,1979,884574218333.155,4.04362006473399,72.6301707317073,78126350.0,,11322.354344381314,19.025105119145834
DE,Germany,1980,953772499462.019,5.44105754460347,72.8003170731707,78288576.0,,12182.780019680255,7.82277842771153
DE,Germany,1981,803404797057.551,6.34424277746325,73.0402195121951,78407907.0,,10246.476762318767,-15.765573288104218
DE,Germany,1982,779421633755.138,5.24104507228422,73.3331463414634,78333366.0,,9950.059260253644,-2.985190453212472
DE,Germany,1983,773507930294.906,3.29341474302854,73.6221463414634,78128282.0,,9900.485592335257,-0.7587297047094488
DE,Germany,1984,727767760978.627,2.4057933993196,74.0722926829268,77858685.0,,9347.290684123767,-5.91334200010597
DE,Germany,1985,735218723093.277,2.0662330121658,74.1890975609756,77684873.0,,9464.11694710857,1.0238104123533542
DE,Germany,1986,1050092624515.9,-0.129413360854742,74.3968292682927,77720436.0,,13511.152002748673,42.82724195296031
DE,Germany,1987,1302932318824.81,0.24990610870503,74.8070243902439,77839920.0,,16738.61328255232,24.077846887599176
DE,Germany,1988,1406367016371.53,1.27411894006923,74.9987317073171,78144619.0,,17996.97835076181,7.9386086331801
DE,Germany,1989,1404092925205.45,2.78056955569751,75.1915365853659,78751283.0,,17829.46095247045,-0.16169969429085107
DE,Germany,1990,1778162195860.07,2.69646824292392,75.0856341463415,79433029.0,,22385.677825027546,26.64134716011659
DE,Germany,1991,1875792575132.59,4.04703259753466,75.319512195122,80013896.0,5.316,23443.335081853656,5.490521590202735
DE,Germany,1992,2141377582968.07,5.05697796731731,75.819512195122,80624598.0,6.323,26559.854387963213,14.158548837240549
DE,Germany,1993,2078954217437.6,4.47457650752808,75.8707317073171,81156363.0,7.675,25616.65087724052,-2.915103157283816
DE,Germany,1994,2215282632276.73,2.69305639854954,76.2707317073171,81438348.0,8.727,27201.95935552045,6.557547717773238
DE,Germany,1995,2593053091306.13,1.70616041317076,76.4219512195122,81678051.0,8.158,31747.24493984473,17.05292379063843
DE,Germany,1996,2506576553158.31,1.44972701963239,76.6731707317073,81914831.0,8.822,30599.789104836338,-3.3349312606731574
DE,Germany,1997,2218790886532.82,1.93936968221574,77.0731707317073,82034771.0,9.861,27046.95654642371,-11.481223913264394
DE,Germany,1998,2247760364565.97,0.911184687196224,77.4756097560976,82047195.0,9.787,27395.94406080513,1.3056425555460605
DE,Germany,1999,2213873468586.88,0.585434192138622,77.7268292682927,82100243.0,8.854,26965.492277372185,-1.5075849059930202
DE,Germany,2000,1966980701145.1,1.44026838719741,77.9268292682927,82211508.0,7.917,23925.855990199085,-11.152072191342166
DE,Germany,2001,1966381496641.73,1.98385731334471,78.3292682926829,82349925.0,7.773,23878.36414716504,-0.030463161281724105
DE,Germany,2002,2102350798305.89,1.42080615551526,78.2292682926829,82488495.0,8.482,25486.5942008748,6.914695947677196
DE,Germany,2003,2534715518349.01,1.03422218628562,78.3804878048781,82534176.0,9.779,30711.10225113303,20.5657742937823
DE,Germany,2004,2852317768061.78,1.66573696655992,78.6804878048781,82516260.0,10.727,34566.73591437348,12.530094498322274
DE,Germany,2005,2893393187361.87,1.54691114751328,78.9317073170732,82469422.0,11.193,35084.43635462693,1.4400716413866421
DE,Germany,2006,3046308753670.58,1.57742642840563,79.1317073170732,82376451.0,10.277,36980.334994895326,5.284990888090624
DE,Germany,2007,3484056680854.91,2.29834400700951,79.5341463414634,82266372.0,8.732,42350.921721148836,14.36978200771264
DE,Germany,2008,3808197720125.0,2.62837981637219,79.7365853658537,82110097.0,7.508,46379.16479534788,9.303552409214898
DE,Germany,2009,3478545516683.59,0.312739007368447,79.8365853658537,81902307.0,7.88,42471.886862522566,-8.656383614204511
DE,Germany,2010,3467093769666.67,1.1038103778926,79.9878048780488,81776930.0,7.043,42396.9665976293,-0.3292107854272919
DE,Germany,2011,3823575803793.78,2.07517283735874,80.4365853658537,80274983.0,5.967,47630.97618835721,10.281868844908182
DE,Germany,2012,3596483233406.25,2.00848884782956,80.5390243902439,80425823.0,5.372,44718.01592140686,-5.939272085627456
DE,Germany,2013,3807023797050.99,1.50472330251876,80.490243902439,80645605.0,5.316,47206.835351424175,5.854067709509003
DE,Germany,2014,3964870735760.77,0.906794000434246,81.090243902439,80982500.0,4.979,48959.59912031328,4.146203100491563
DE,Germany,2015,3425099578746.09,0.514426137125456,80.6414634146341,81686611.0,4.612,41929.754911072145,-13.613839970778018
DE,Germany,2016,3536787895179.0,0.491747008445174,80.990243902439,82348669.0,4.104,42948.9381932694,3.2608779355197237
DE,Germany,2017,3765351626105.89,1.50949485109628,80.9926829268293,82657002.0,3.781,45553.93414953388,6.462466444155313
DE,Germany,2018,4055433215301.96,1.73216879766942,80.8926829268293,82905782.0,3.384,48916.16866121545,7.703970784159431
DE,Germany,2019,3959894794039.21,1.44565976888253,81.2926829268293,83092962.0,3.163,47656.19973974703,-2.3558129598155952
DE,Germany,2020,3941398957073.94,0.144877925813982,81.0414634146342,83160871.0,3.881,47394.8734504469,-0.46707899899541827
DE,Germany,2021,4355251953410.78,3.06666666666673,80.790243902439,83196078.0,3.594,52349.24599944218,10.500154915656656
DE,Germany,2022,4201021706478.62,6.87257438551097,80.6080487804878,83177813.0,3.137,50506.51796385438,-3.5412474084622225
DE,Germany,2023,4562207532490.28,5.94643667725823,81.0414634146342,83287273.0,3.071,54776.766823549144,8.597571049315356
DE,Germany,2024,4685592577804.69,2.2564981433876,80.7926829268293,83516593.0,3.4,56103.73231825549,2.7045031256405894
DE,Germany,2025,5050922925047.05,2.17178770949721,,83491249.0,3.711,60496.43508204135,7.796886758206467
IN,India,1960,37029883876.1839,1.77987784677391,,435990338.0,,84.93280847931061,
IN,India,1961,39232435784.0358,1.69521293914433,,446564729.0,,87.85386134702053,5.948038927738808
IN,India,1962,42161481858.0819,3.63221497106987,,457283090.0,,92.19995836295172,7.465878718746222
IN,India,1963,48421923459.1235,2.94616135685225,,468138575.0,,103.4350212629316,14.848722874861519
IN,India,1964,56480289940.9899,13.3552611508153,,479229598.0,,117.85643077285451,16.641979306478927
IN,India,1965,59556105229.0052,9.47475859170695,,490140146.0,,121.50831902882977,5.445820641552812
IN,India,1966,45581230504.071,10.8018483489341,,500740247.0,,91.02769505178401,-23.465058151801564
IN,India,1967,50134942204.0,13.062202477797,,511606372.0,,97.9951481214155,9.990322002216011
IN,India,1968,53085455870.6667,3.23741242627507,,522716889.0,,101.55680252119556,5.885144246623453
IN,India,1969,58447995017.3333,-0.584136610466281,,533880544.0,,109.47766438428836,10.101710645061557
IN,India,1970,62422483054.6667,5.09226161997545,,545864268.0,,114.35532002007997,6.800041705715887
IN,India,1971,67351404351.833,3.07993868406546,,558096387.0,,120.68059553991164,7.896067339791313
